iter	Passed	Remaining
0	0	67
1	1	63
2	1	59
3	2	54
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	50
10	6	49
11	6	48
12	7	47
13	7	48
14	8	47
15	8	47
16	9	46
17	10	45
18	10	44
19	11	44
20	11	43
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	26	27
49	26	26
50	27	25
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	39	13
74	39	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
